weight_message_size,weight_distance,distance,weight_message_size_normalized,utility,self-configuration
0,0.0,10.057345869741653,0.0,0.9853258259276348,0.0
0,0.0,9.972113170253465,0.0,0.9853258259276348,0.0
0,0.0,10.060456754220155,0.0,0.9853258259276348,0.0
0,0.0,9.975335217394473,0.0,0.9853258259276348,0.0
0,0.0,10.063594711128218,0.0,0.9853258259276348,0.0
0,0.0,9.978537869183981,0.0,0.9853258259276348,0.0
0,0.0,10.06674688970466,0.0,0.9853258259276348,0.0
0,0.0,9.981466446896007,0.0,0.9853258259276348,0.0
0,0.0,10.068646929666443,0.0,0.9853258259276348,0.0
0,0.0,9.982232770751295,0.0,0.9853258259276348,0.0
0,0.0,10.068923017239342,0.0,0.9853258259276348,0.0
0,0.0,9.982356377721999,0.0,0.9853258259276348,0.0
0,0.0,10.068958623912522,0.0,0.9853258259276348,0.0
0,0.0,9.982380301884973,0.0,0.9853258259276348,0.0
0,0.0,10.06896144803153,0.0,0.9853258259276348,0.0
0,0.0,9.98238680957104,0.0,0.9853258259276348,0.0
0,0.0,10.068958776602244,0.0,0.9853258259276348,0.0
0,0.0,9.982390408550486,0.0,0.9853258259276348,0.0
0,0.0,10.06895713037295,0.0,0.9853258259276348,0.0
0,0.0,9.982390240516338,0.0,0.9853258259276348,0.0
0,0.0,10.068955794087856,0.0,0.9853258259276348,0.0
0,0.0,12.613200687250696,0.0,0.9853258259276348,0.0
0,0.0,11.3130749469925,0.0,0.9853258259276348,0.0
0,0.0,10.095586016083331,0.0,0.9853258259276348,0.0
0,0.0,10.089273528274163,0.0,0.9853258259276348,0.0
0,0.0,9.97071400257741,0.0,0.9853258259276348,0.0
0,0.0,10.04309123301465,0.0,0.9853258259276348,0.0
0,0.0,9.954108724148341,0.0,0.9853258259276348,0.0
0,0.0,10.03906212932165,0.0,0.9853258259276348,0.0
0,0.0,9.954107487772546,0.0,0.9853258259276348,0.0
0,0.0,10.041294565087867,0.0,0.9853258259276348,0.0
0,0.0,9.956690780319747,0.0,0.9853258259276348,0.0
0,0.0,10.044412940452176,0.0,0.9853258259276348,0.0
0,0.0,9.9597114755922,0.0,0.9853258259276348,0.0
0,0.0,10.047629067433888,0.0,0.9853258259276348,0.0
0,0.0,9.962824844166335,0.0,0.9853258259276348,0.0
0,0.0,10.050838041858242,0.0,0.9853258259276348,0.0
0,0.0,9.965968229639572,0.0,0.9853258259276348,0.0
0,0.0,10.054035739083787,0.0,0.9853258259276348,0.0
0,0.0,9.969124668529986,0.0,0.9853258259276348,0.0
0,0.0,10.057222314082622,0.0,0.9853258259276348,0.0
0,0.0,9.972289106363775,0.0,0.9853258259276348,0.0
0,0.0,10.060405777719012,0.0,0.9853258259276348,0.0
0,0.0,9.975457025108796,0.0,0.9853258259276348,0.0
0,0.0,10.063584973662813,0.0,0.9853258259276348,0.0
0,0.0,9.9786278287186,0.0,0.9853258259276348,0.0
0,0.0,10.066760760220944,0.0,0.9853258259276348,0.0
0,0.0,9.981517846767844,0.0,0.9853258259276348,0.0
0,0.0,10.06863325545828,0.0,0.9853258259276348,0.0
0,0.0,9.982253586061859,0.0,0.9853258259276348,0.0
0,0.0,10.068911612550153,0.0,0.9853258259276348,0.0
0,0.0,9.982368125748053,0.0,0.9853258259276348,0.0
0,0.0,10.068951241118782,0.0,0.9853258259276348,0.0
